Category: All categories

Week,Taylor Swift: (Turkey),İbrahim Tatlıses: (Turkey)
2019-04-21,25,77
2019-04-28,29,84
2019-05-05,19,54
2019-05-12,14,61
2019-05-19,15,96
2019-05-26,15,66
2019-06-02,21,89
2019-06-09,24,70
2019-06-16,22,83
2019-06-23,17,78
2019-06-30,36,86
2019-07-07,24,93
2019-07-14,16,90
2019-07-21,21,83
2019-07-28,15,80
2019-08-04,15,93
2019-08-11,21,100
2019-08-18,30,85
2019-08-25,25,99
2019-09-01,23,83
2019-09-08,15,84
2019-09-15,12,84
2019-09-22,15,71
2019-09-29,12,74
2019-10-06,12,73
2019-10-13,14,75
2019-10-20,12,74
2019-10-27,13,66
2019-11-03,11,70
2019-11-10,13,74
2019-11-17,17,83
2019-11-24,17,71
2019-12-01,16,66
2019-12-08,16,68
2019-12-15,14,69
2019-12-22,12,70
2019-12-29,11,81
2020-01-05,11,75
2020-01-12,13,75
2020-01-19,16,66
2020-01-26,18,73
2020-02-02,27,64
2020-02-09,15,70
2020-02-16,12,62
2020-02-23,17,57
2020-03-01,12,58
2020-03-08,14,61
2020-03-15,14,58
2020-03-22,20,79
2020-03-29,15,85
2020-04-05,14,92
2020-04-12,13,89
